AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 6:14	Make you an ark of gopher wood; rooms shall you make in the ark, and shall pitch it within and without with pitch.
Genesis 6:15	And this is the fashion which you shall make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.
Genesis 6:16	A window shall you make to the ark, and in a cubit shall you finish it above; and the door of the ark shall you set in the side thereof; with lower, second, and third stories shall you make it.
Genesis 6:17	And, behold, I, even I, do bring a flood of waters on the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die.
Genesis 6:18	But with you will I establish my covenant; and you shall come into the ark, you, and your sons, and your wife, and your sons’ wives with you.
Genesis 6:19	And of every living thing of all flesh, two of every sort shall you bring into the ark, to keep them alive with you; they shall be male and female.
Genesis 6:20	Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come to you, to keep them alive.
Genesis 6:21	And take you to you of all food that is eaten, and you shall gather it to you; and it shall be for food for you, and for them.
Genesis 6:22	Thus did Noah; according to all that God commanded him, so did he.
Genesis 7:1	And the LORD said to Noah, Come you and all your house into the ark; for you have I seen righteous before me in this generation.
Genesis 7:2	Of every clean beast you shall take to you by sevens, the male and his female: and of beasts that are not clean by two, the male and his female.
Genesis 7:3	Of fowls also of the air by sevens, the male and the female; to keep seed alive on the face of all the earth.
Genesis 7:4	For yet seven days, and I will cause it to rain on the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth.
Genesis 7:5	And Noah did according to all that the LORD commanded him.
Genesis 7:6	And Noah was six hundred years old when the flood of waters was on the earth.
Genesis 7:7	And Noah went in, and his sons, and his wife, and his sons’ wives with him, into the ark, because of the waters of the flood.
Genesis 7:8	Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creeps on the earth,
Genesis 7:9	There went in two and two to Noah into the ark, the male and the female, as God had commanded Noah.
Genesis 7:10	And it came to pass after seven days, that the waters of the flood were on the earth.
Genesis 7:11	In the six hundredth year of Noah’s life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened.
Genesis 7:12	And the rain was on the earth forty days and forty nights.
Genesis 7:13	In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah’s wife, and the three wives of his sons with them, into the ark;
Genesis 7:14	They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creeps on the earth after his kind, and every fowl after his kind, every bird of every sort.
Genesis 7:15	And they went in to Noah into the ark, two and two of all flesh, wherein is the breath of life.
Genesis 7:16	And they that went in, went in male and female of all flesh, as God had commanded him: and the LORD shut him in.
Genesis 7:17	And the flood was forty days on the earth; and the waters increased, and bore up the ark, and it was lift up above the earth.
Genesis 7:18	And the waters prevailed, and were increased greatly on the earth; and the ark went on the face of the waters.
Genesis 7:19	And the waters prevailed exceedingly on the earth; and all the high hills, that were under the whole heaven, were covered.
Genesis 7:20	Fifteen cubits upward did the waters prevail; and the mountains were covered.
Genesis 7:21	And all flesh died that moved on the earth, both of fowl, and of cattle, and of beast, and of every creeping thing that creeps on the earth, and every man:
Genesis 7:22	All in whose nostrils was the breath of life, of all that was in the dry land, died.
Genesis 7:23	And every living substance was destroyed which was on the face of the ground, both man, and cattle, and the creeping things, and the fowl of the heaven; and they were destroyed from the earth: and Noah only remained alive, and they that were with him in the ark.
Genesis 7:24	And the waters prevailed on the earth an hundred and fifty days.
Genesis 8:1	And God remembered Noah, and every living thing, and all the cattle that was with him in the ark: and God made a wind to pass over the earth, and the waters assuaged;
Genesis 8:2	The fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained;
Genesis 8:3	And the waters returned from off the earth continually: and after the end of the hundred and fifty days the waters were abated.
Genesis 8:4	And the ark rested in the seventh month, on the seventeenth day of the month, on the mountains of Ararat.
Genesis 8:5	And the waters decreased continually until the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen.
Genesis 8:6	And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made:
Genesis 8:7	And he sent forth a raven, which went forth to and fro, until the waters were dried up from off the earth.
Genesis 8:8	Also he sent forth a dove from him, to see if the waters were abated from off the face of the ground;
Genesis 8:9	But the dove found no rest for the sole of her foot, and she returned to him into the ark, for the waters were on the face of the whole earth: then he put forth his hand, and took her, and pulled her in to him into the ark.
Genesis 8:10	And he stayed yet other seven days; and again he sent forth the dove out of the ark;
Genesis 8:11	And the dove came in to him in the evening; and, see, in her mouth was an olive leaf plucked off: so Noah knew that the waters were abated from off the earth.
Genesis 8:12	And he stayed yet other seven days; and sent forth the dove; which returned not again to him any more.
Genesis 8:13	And it came to pass in the six hundredth and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dry.
Genesis 8:14	And in the second month, on the seven and twentieth day of the month, was the earth dried.
Genesis 8:15	And God spoke to Noah, saying,
Genesis 8:16	Go forth of the ark, you, and your wife, and your sons, and your sons’ wives with you.
Genesis 8:17	Bring forth with you every living thing that is with you, of all flesh, both of fowl, and of cattle, and of every creeping thing that creeps on the earth; that they may breed abundantly in the earth, and be fruitful, and multiply on the earth.
Genesis 8:18	And Noah went forth, and his sons, and his wife, and his sons’ wives with him:
Genesis 8:19	Every beast, every creeping thing, and every fowl, and whatever creeps on the earth, after their kinds, went forth out of the ark.
Genesis 8:20	And Noah built an altar to the LORD; and took of every clean beast, and of every clean fowl, and offered burnt offerings on the altar.
Genesis 8:21	And the LORD smelled a sweet smell; and the LORD said in his heart, I will not again curse the ground any more for man’s sake; for the imagination of man’s heart is evil from his youth; neither will I again smite any more every thing living, as I have done.
Genesis 8:22	While the earth remains, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.
Genesis 9:1	And God blessed Noah and his sons, and said to them, Be fruitful, and multiply, and replenish the earth.
Genesis 9:2	And the fear of you and the dread of you shall be on every beast of the earth, and on every fowl of the air, on all that moves on the earth, and on all the fishes of the sea; into your hand are they delivered.
Genesis 9:3	Every moving thing that lives shall be meat for you; even as the green herb have I given you all things.
Genesis 9:4	But flesh with the life thereof, which is the blood thereof, shall you not eat.
Genesis 9:5	And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man’s brother will I require the life of man.
Genesis 9:6	Whoever sheds man’s blood, by man shall his blood be shed: for in the image of God made he man.
Genesis 9:7	And you, be you fruitful, and multiply; bring forth abundantly in the earth, and multiply therein.
Genesis 9:8	And God spoke to Noah, and to his sons with him, saying,
Genesis 9:9	And I, behold, I establish my covenant with you, and with your seed after you;
Genesis 9:10	And with every living creature that is with you, of the fowl, of the cattle, and of every beast of the earth with you; from all that go out of the ark, to every beast of the earth.
Genesis 9:11	And I will establish my covenant with you, neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.
Genesis 9:12	And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:
Genesis 9:13	I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth.
Genesis 9:14	And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:
Genesis 9:15	And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh.
Genesis 9:16	And the bow shall be in the cloud; and I will look on it, that I may remember the everlasting covenant between God and every living creature of all flesh that is on the earth.
Genesis 9:17	And God said to Noah, This is the token of the covenant, which I have established between me and all flesh that is on the earth.
Genesis 9:18	And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan.
Genesis 9:19	These are the three sons of Noah: and of them was the whole earth covered.
Genesis 9:20	And Noah began to be an farmer, and he planted a vineyard:
Genesis 9:21	And he drank of the wine, and was drunken; and he was uncovered within his tent.
Genesis 9:22	And Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers without.
Genesis 9:23	And Shem and Japheth took a garment, and laid it on both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father’s nakedness.
Genesis 9:24	And Noah awoke from his wine, and knew what his younger son had done to him.
Genesis 9:25	And he said, Cursed be Canaan; a servant of servants shall he be to his brothers.
Genesis 9:26	And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant.
Genesis 9:27	God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant.
Genesis 9:28	And Noah lived after the flood three hundred and fifty years.
Genesis 9:29	And all the days of Noah were nine hundred and fifty years: and he died.
Genesis 10:1	Now these are the generations of the sons of Noah, Shem, Ham, and Japheth: and to them were sons born after the flood.
Genesis 10:2	The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
Genesis 10:3	And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah.
Genesis 10:4	And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.
Genesis 10:5	By these were the isles of the Gentiles divided in their lands; every one after his tongue, after their families, in their nations.
Genesis 10:6	And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan.
Genesis 10:7	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah: and the sons of Raamah; Sheba, and Dedan.
Genesis 10:8	And Cush begat Nimrod: he began to be a mighty one in the earth.
Genesis 10:9	He was a mighty hunter before the LORD: why it is said, Even as Nimrod the mighty hunter before the LORD.
Genesis 10:10	And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.
Genesis 10:11	Out of that land went forth Asshur, and built Nineveh, and the city Rehoboth, and Calah,
Genesis 10:12	And Resen between Nineveh and Calah: the same is a great city.
Genesis 10:13	And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
Genesis 10:14	And Pathrusim, and Casluhim, (out of whom came Philistim,) and Caphtorim.
Genesis 10:15	And Canaan begat Sidon his first born, and Heth,
Genesis 10:16	And the Jebusite, and the Amorite, and the Girgasite,
Genesis 10:17	And the Hivite, and the Arkite, and the Sinite,
Genesis 10:18	And the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanites spread abroad.
Genesis 10:19	And the border of the Canaanites was from Sidon, as you come to Gerar, to Gaza; as you go, to Sodom, and Gomorrah, and Admah, and Zeboim, even to Lasha.
Genesis 10:20	These are the sons of Ham, after their families, after their tongues, in their countries, and in their nations.
Genesis 10:21	To Shem also, the father of all the children of Eber, the brother of Japheth the elder, even to him were children born.
Genesis 10:22	The children of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram.
Genesis 10:23	And the children of Aram; Uz, and Hul, and Gether, and Mash.
Genesis 10:24	And Arphaxad begat Salah; and Salah begat Eber.
Genesis 10:25	And to Eber were born two sons: the name of one was Peleg; for in his days was the earth divided; and his brother’s name was Joktan.
Genesis 10:26	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
Genesis 10:27	And Hadoram, and Uzal, and Diklah,
Genesis 10:28	And Obal, and Abimael, and Sheba,
Genesis 10:29	And Ophir, and Havilah, and Jobab: all these were the sons of Joktan.
Genesis 10:30	And their dwelling was from Mesha, as you go to Sephar a mount of the east.
Genesis 10:31	These are the sons of Shem, after their families, after their tongues, in their lands, after their nations.
Genesis 10:32	These are the families of the sons of Noah, after their generations, in their nations: and by these were the nations divided in the earth after the flood.
Genesis 11:1	And the whole earth was of one language, and of one speech.
Genesis 11:2	And it came to pass, as they journeyed from the east, that they found a plain in the land of Shinar; and they dwelled there.
Genesis 11:3	And they said one to another, Go to, let us make brick, and burn them thoroughly. And they had brick for stone, and slime had they for mortar.
Genesis 11:4	And they said, Go to, let us build us a city and a tower, whose top may reach to heaven; and let us make us a name, lest we be scattered abroad on the face of the whole earth.
Genesis 11:5	And the LORD came down to see the city and the tower, which the children of men built.
Genesis 11:6	And the LORD said, Behold, the people is one, and they have all one language; and this they begin to do: and now nothing will be restrained from them, which they have imagined to do.
Genesis 11:7	Go to, let us go down, and there confound their language, that they may not understand one another’s speech.
Genesis 11:8	So the LORD scattered them abroad from there on the face of all the earth: and they left off to build the city.
Genesis 11:9	Therefore is the name of it called Babel; because the LORD did there confound the language of all the earth: and from there did the LORD scatter them abroad on the face of all the earth.
Genesis 11:10	These are the generations of Shem: Shem was an hundred years old, and begat Arphaxad two years after the flood:
Genesis 11:11	And Shem lived after he begat Arphaxad five hundred years, and begat sons and daughters.
Genesis 11:12	And Arphaxad lived five and thirty years, and begat Salah:
Genesis 11:13	And Arphaxad lived after he begat Salah four hundred and three years, and begat sons and daughters.
Genesis 11:14	And Salah lived thirty years, and begat Eber:
Genesis 11:15	And Salah lived after he begat Eber four hundred and three years, and begat sons and daughters.
Genesis 11:16	And Eber lived four and thirty years, and begat Peleg:
Genesis 11:17	And Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters.
Genesis 11:18	And Peleg lived thirty years, and begat Reu:
Genesis 11:19	And Peleg lived after he begat Reu two hundred and nine years, and begat sons and daughters.
Genesis 11:20	And Reu lived two and thirty years, and begat Serug:
Genesis 11:21	And Reu lived after he begat Serug two hundred and seven years, and begat sons and daughters.
Genesis 11:22	And Serug lived thirty years, and begat Nahor:
Genesis 11:23	And Serug lived after he begat Nahor two hundred years, and begat sons and daughters.
Genesis 11:24	And Nahor lived nine and twenty years, and begat Terah:
